id,category,scripture_relevance,audience_level,novice_load_level,meaning_length,has_phonetic
1480,武器,low,,,17,1
1481,武器,low,,,12,1
1482,武器,low,,,5,1
1483,武器,low,,,33,1
1479,纳西族象形标音文字字典·武器,low,,,6,1
1480,纳西族象形标音文字字典·武器,low,,,17,1
1481,纳西族象形标音文字字典·武器,low,,,93,1
1482,纳西族象形标音文字字典·武器,low,,,15,1
1483,武器,low,,,47,1
1484,武器,low,,,12,1
1485,武器,low,,,22,1
1485,武器,low,,,49,1
1486,武器,low,,,16,1
1487,武器,low,,,25,1
1487,武器,low,,,11,1
1488,武器,low,,,55,1
1489,武器,low,,,13,1
1490,武器,low,,,6,1
1491,武器,low,,,35,1
1492,武器,low,,,3,1
1493,武器,low,,,11,1
1494,武器,low,,,61,1
1495,武器,low,,,18,1
1496,武器,low,,,12,1
1497,武器,low,,,47,1
1498,武器,low,,,23,1
1499,武器,low,,,51,1
1500,武器,low,,,41,1
1501,武器,low,,,26,1
1502,武器,low,,,16,1
1503,武器,low,,,20,1
1504,武器,low,,,11,1
1505,武器,low,,,70,1
1506,武器,low,,,28,1
1507,武器,low,,,44,1
1508,武器,low,,,38,1
1509,武器,low,,,4,1
[k'wa55],武器,low,,,30,1
[ŋɡa31],武器,low,,,30,1
[la31pa55la31mbae33],武器,low,,,5,1
[la31mbae33],武器,low,,,25,1
[mo33kwe31],武器,low,,,15,1
[la31tsʰur55],武器,low,,,17,1
1512,建筑、数目、动作之类,low,,,18,1
1513,建筑、数目、动作之类,low,,,29,1
1514,建筑、数目、动作之类,low,,,21,1
1515,建筑、数目、动作之类,low,,,30,1
1516,建筑、数目、动作之类,low,,,36,1
1517,建筑、数目、动作之类,low,,,72,1
1518,建筑数目动作等,low,,,33,1
1519,建筑数目动作等,low,,,27,1
1520,建筑数目动作等,low,,,34,1
1521,建筑数目动作等,low,,,26,1
1522,建筑数目动作等,low,,,40,1
1523,建筑数目动作等,low,,,41,1
1524,建筑数目动作等,low,,,17,1
1.925,建筑数目动作等,low,,,4,1
1526,建筑数目动作等,low,,,10,1
1527,建筑数目动作等,low,,,21,1
1528,建筑数目动作等,low,,,55,1
1529,建筑数目动作等,low,,,21,1
1530,建筑数目动作等,low,,,41,1
1531,建筑数目动作等,low,,,15,1
1,建筑数目动作等,low,,,44,1
2,建筑数目动作等,low,,,12,1
3,建筑数目动作等,low,,,74,1
7,建筑数目动作等,low,,,19,1
77,建筑数目动作等,low,,,42,1
177,建筑数目动作等,low,,,16,1
1771,建筑数目动作等,low,,,3,1
17711,建筑数目动作等,low,,,30,1
17717,建筑数目动作等,low,,,3,1
1340,建筑数目动作用等,low,,,11,1
1341,建筑数目动作用等,low,,,11,1
1342,建筑数目动作用等,low,,,3,1
1343,建筑数目动作用等,low,,,3,1
1344,建筑数目动作用等,low,,,22,1
1345,建筑数目动作用等,low,,,34,1
1346,建筑数目动作用等,low,,,21,1
1347,建筑数目动作用等,low,,,17,1
XXX,建筑数目动作等,low,,,14,1
*,建筑数目动作等,low,,,17,1
* *,建筑数目动作等,low,,,58,1
* * *,建筑数目动作等,low,,,31,1
田,建筑数目动作等,low,,,38,1
一,纳西族象形标音文字字典·建筑数目动作等,low,,,30,1
三,纳西族象形标音文字字典·建筑数目动作等,low,,,23,1
十,纳西族象形标音文字字典·建筑数目动作等,low,,,61,1
绕,纳西族象形标音文字字典·建筑数目动作等,low,,,19,1
环,纳西族象形标音文字字典·建筑数目动作等,low,,,21,1
乱,纳西族象形标音文字字典·建筑数目动作等,low,,,45,1
团,纳西族象形标音文字字典·建筑数目动作等,low,,,28,1
1560,建筑数目动作用等,low,,,40,1
1561,建筑数目动作用等,low,,,33,1
1562,建筑数目动作用等,low,,,20,1
1563,建筑数目动作用等,low,,,12,1
1564,建筑数目动作用等,low,,,14,1
1565,建筑数目动作用等,low,,,11,1
1566,建筑数目动作用等,low,,,6,1
1567,建筑数目动作用等,low,,,4,1
1568,建筑数目动作用等,low,,,8,1
1569,建筑数目动作用等,low,,,22,1
1570,建筑数目动作用等,low,,,10,1
1571,建筑数目动作用等,low,,,29,1
1572,建筑数目动作用等,low,,,16,1
1582,建筑数目动作者,low,,,6,1
1583,建筑数目动作者,low,,,4,1
1584,建筑数目动作者,low,,,10,1
1585,建筑数目动作者,low,,,23,1
1586,建筑数目动作者,low,,,14,1
1587,建筑数目动作者,low,,,29,1
1588,建筑数目动作者,low,,,29,1
1589,建筑数目动作者,low,,,4,1
1590,建筑数目动作者,low,,,24,1
1591,建筑数目动作等,low,,,3,1
1592,建筑数目动作等,low,,,4,1
1593,建筑数目动作等,low,,,7,1
1594,建筑数目动作等,low,,,3,1
1595,建筑数目动作等,low,,,3,1
1596,建筑数目动作等,low,,,3,1
1597,建筑数目动作等,low,,,3,1
1598,建筑数目动作等,low,,,9,1
1,天文类,low,,,38,1
2,文字类,low,,,18,1
3,词汇类,low,,,20,1
4,词汇类,low,,,19,1
5,词汇类,low,,,19,1
6,物品类,low,,,54,1
1,建筑数目动作等,low,,,8,1
2,建筑数目动作等,low,,,4,1
3,建筑数目动作等,low,,,10,1
4,建筑数目动作等,low,,,4,1
5,建筑数目动作等,low,,,3,1
6,建筑数目动作等,low,,,12,1
7,建筑数目动作等,low,,,4,1
1611,建筑数目动作等,low,,,4,1
1612,建筑数目动作等,low,,,4,1
1613,建筑数目动作等,low,,,3,1
1614,建筑数目动作等,low,,,4,1
1615,建筑数目动作等,low,,,6,1
1616,纳西族象形标音文字字典·建筑数目动作等,low,,,22,1
1617,纳西族象形标音文字字典·建筑数目动作等,low,,,29,1
1618,纳西族象形标音文字字典·建筑数目动作等,low,,,6,1
1619,纳西族象形标音文字字典·建筑数目动作等,low,,,52,1
1620,纳西族象形标音文字字典·建筑数目动作等,low,,,21,1
1621,纳西族象形标音文字字典·建筑数目动作等,low,,,19,1
1622,纳西族象形标音文字字典·建筑数目动作等,low,,,9,1
1622,建筑数目动作等,low,,,19,1
1623,建筑数目动作等,low,,,20,1
1624,建筑数目动作等,low,,,4,1
1625,建筑数目动作等,low,,,24,1
1626,建筑数目动作等,low,,,14,1
1627,建筑数目动作等,low,,,25,1
1628,建筑数目动作等,low,,,25,1
洛吉,若喀字类,low,,,3,1
俄亚,若喀字类,low,,,3,1
苏支,若喀字类,low,,,3,1
药迷(油米),若喀字类,low,,,3,1
上下海罗,若喀字类,low,,,3,1
纳西语,若喀字类,low,,,2,1
象形文字,若喀字类,low,,,4,1
丽江,若喀字类,low,,,2,1
鲁甸,若喀字类,low,,,2,1
永宁,若喀字类,low,,,2,1
木里,若喀字类,low,,,2,1
若喀,若喀字类,low,,,11,1
1629,若喀字,low,,,17,1
1630,若喀字,low,,,13,1
1631,若喀字,low,,,11,1
1632,若喀字,low,,,13,1
1633,若喀字,low,,,13,1
1634,若喀字,low,,,23,1
1635,若喀字,low,,,15,1
1636,若喀字,low,,,10,1
1637,若喀字,low,,,16,1
1638,若喀字,low,,,10,1
1639,若喀字,low,,,21,1
1640,纳西族象形标音文字字典·若喀字,low,,,25,1
1641,纳西族象形标音文字字典·若喀字,low,,,9,1
1642,纳西族象形标音文字字典·若喀字,low,,,47,1
1643,纳西族象形标音文字字典·若喀字,low,,,13,1
1644,纳西族象形标音文字字典·若喀字,low,,,13,1
1645,纳西族象形标音文字字典·若喀字,low,,,9,1
1646,纳西族象形标音文字字典·若喀字,low,,,9,1
1647,纳西族象形标音文字字典·若喀字,low,,,13,1
1648,纳西族象形标音文字字典·若喀字,low,,,29,1
1649,纳西族象形标音文字字典·若喀字,low,,,31,1
1650,纳西族象形标音文字字典·若喀字,low,,,6,1
1651,纳西族象形标音文字字典·若喀字,low,,,19,1
[tse³¹],若喀字,low,,,37,1
[hɔ³³],若喀字,low,,,8,1
[kʰo³³],若喀字,low,,,16,1
[po³³],若喀字,low,,,11,1
[ŋəge³¹],若喀字,low,,,12,1
[ndz_Ar³¹],若喀字,low,,,18,1
[kv³³kʰa³³],若喀字,low,,,12,1
[mi³³mae³³],若喀字,low,,,13,1
[tsʰv⁵⁵],若喀字,low,,,22,1
[?o⁵⁵],若喀字,low,,,28,1
[kʌ⁵⁵],若喀字,low,,,24,1
[ŋyv³¹pʻur³¹mi³³tʰv³¹tsu⁵⁵],若喀字,low,,,31,1
1,纳西族象形标音文字字典·若喀字,low,,,3,1
2,纳西族象形标音文字字典·若喀字,low,,,7,1
3,纳西族象形标音文字字典·若喀字,low,,,15,1
4,纳西族象形标音文字字典·若喀字,low,,,13,1
5,纳西族象形标音文字字典·若喀字,low,,,11,1
6,纳西族象形标音文字字典·若喀字,low,,,37,1
7,纳西族象形标音文字字典·若喀字,low,,,26,1
8,纳西族象形标音文字字典·若喀字,low,,,36,1
9,纳西族象形标音文字字典·若喀字,low,,,12,1
10,纳西族象形标音文字字典·若喀字,low,,,16,1
11,纳西族象形标音文字字典·若喀字,low,,,28,1
12,纳西族象形标音文字字典·若喀字,low,,,22,1
1,,low,,,24,1
2,,low,,,28,1
3,,low,,,17,1
4,,low,,,5,1
5,,low,,,26,1
6,,low,,,13,1
1679,,low,,,35,1
1680,,low,,,30,1
1681,,low,,,26,1
1682,,low,,,60,1
1683,,low,,,20,1
1684,,low,,,10,1
1685,,low,,,0,1
1686,藏语音字,low,,,34,1
1687,藏语音字,low,,,20,1
1688,藏语音字,low,,,21,1
1689,藏语音字,low,,,26,1
1690,藏语音字,low,,,17,1
1691,藏语音字,low,,,17,1
1692,,low,,,0,1
1693,,low,,,0,1
1694,,low,,,0,1
1695,,low,,,0,1
1696,,low,,,0,1
1697,,low,,,0,1
1698,,low,,,0,1
1700,,low,,,0,1
1701,,low,,,0,1
1702,,low,,,0,1
1703,,low,,,0,1
1704,,low,,,0,1
[ŋv̥ʰ53],,low,,,18,1
[ŋa13],,low,,,19,1
[pʰvr53],,low,,,21,1
[tsʸY53],,low,,,23,1
[?Ya31],,low,,,20,1
[dza~31](?),,low,,,20,1
1711,宗教类,low,,,55,0
1712,宗教类,low,,,84,1
1713,宗教类,low,,,28,1
1714,宗教类,low,,,34,1
715,宗教,low,,,48,1
716,宗教,low,,,48,1
717,宗教,low,,,18,1
718,宗教,low,,,6,1
719,宗教,low,,,30,1
720,宗教,low,,,25,1
721,宗教,low,,,37,1
1721,宗教,low,,,33,1
1722,宗教,low,,,13,1
1723,宗教,low,,,35,1
1724,宗教,low,,,39,1
1725,宗教,low,,,33,1
1726,宗教,low,,,15,1
1727,宗教,low,,,3,1
,宗教,low,,,5,1
,宗教,low,,,14,1
1728,宗教,low,,,58,1
,宗教,low,,,21,1
1729,宗教,low,,,39,1
,宗教,low,,,0,1
1730,宗教,low,,,14,1
1731,宗教,low,,,27,1
1732,宗教,low,,,31,1
1733,宗教,low,,,65,1
1734,宗教,low,,,41,1
1735,宗教,low,,,35,1
1736,宗教,low,,,44,1
1737,宗教,low,,,38,1
1738,植物类,low,,,11,1
1739,植物类,low,,,25,1
1740,器物类,low,,,27,1
1741,器物类,low,,,53,1
1742,建筑类,low,,,44,1
1743,植物类,low,,,89,1
1,宗教,low,,,29,1
2,宗教,low,,,31,1
3,宗教,low,,,46,1
4,宗教,low,,,22,1
5,宗教,low,,,43,1
6,宗教,low,,,52,1
7,宗教,low,,,17,1
1,宗教,low,,,24,1
2,宗教,low,,,47,1
3,宗教,low,,,71,1
4,宗教,low,,,4,1
5,宗教,low,,,22,1
6,宗教,low,,,65,1
1755,宗教,low,,,5,1
1756,宗教,low,,,5,1
1757,宗教,low,,,6,1
1758,宗教,low,,,4,1
1759,宗教,low,,,4,1
1760,宗教,low,,,8,1
1760,宗教,low,,,4,1
1761,宗教,low,,,13,1
1762,宗教,low,,,23,1
1763,宗教,low,,,15,1
1764,宗教,low,,,17,1
1765,宗教,low,,,13,1
1766,宗教,low,,,41,1
1767,宗教,low,,,13,1
1768,宗教,low,,,13,1
1769,宗教,low,,,18,1
1770,宗教,low,,,15,1
1769,宗教,low,,,4,1
1770,宗教,low,,,13,1
1771,宗教,low,,,25,1
1772,宗教,low,,,28,1
1773,宗教,low,,,12,1
1774,宗教,low,,,19,1
1,宗教,low,,,14,1
2,宗教,low,,,18,1
3,宗教,low,,,15,1
4,宗教,low,,,40,1
5,宗教,low,,,25,1
6,宗教,low,,,17,1
1780(2),宗教,low,,,39,1
1781,宗教,low,,,49,1
1782,宗教,low,,,18,1
1783,宗教,low,,,52,1
,宗教,low,,,20,1
1784,宗教,low,,,15,1
1785,宗教,low,,,8,1
1786,宗教,low,,,12,1
1787,宗教,low,,,26,1
1788,宗教,low,,,34,1
1789,宗教,low,,,45,1
1790,宗教,low,,,36,1
1791,宗教,low,,,37,1
1,宗教,low,,,37,1
2,宗教,low,,,37,1
3,宗教,low,,,29,1
4,宗教,low,,,26,1
5,宗教,low,,,30,1
6,宗教,low,,,27,1
7,宗教,low,,,25,1
鬼,宗教,low,,,28,1
,宗教,low,,,17,1
,宗教,low,,,31,1
,宗教,low,,,20,1
,宗教,low,,,15,1
,宗教,low,,,20,1
,宗教,low,,,34,1
,宗教,low,,,29,1
1805,鬼怪类,low,,,28,1
1806,鬼怪类,low,,,25,1
1807,鬼怪类,low,,,27,1
1808,鬼怪类,low,,,12,1
1809,鬼怪类,low,,,5,1
1810,鬼怪类,low,,,22,1
1811,鬼怪,low,,,37,1
1812,鬼怪,low,,,43,1
1813,鬼怪,low,,,28,1
1814,鬼怪,low,,,14,1
1815,鬼怪,low,,,16,1
1816,鬼怪,low,,,35,1
1817,鬼怪,low,,,23,1
1818,鬼怪,low,,,24,1
1819,鬼怪,low,,,14,1
1820,鬼怪,low,,,20,1
1821,鬼怪,low,,,22,1
1822,鬼怪,low,,,30,1
1823,鬼怪,low,,,29,1
1824,鬼怪,low,,,7,1
1825,鬼怪,low,,,25,1
1826,鬼怪,low,,,26,1
1827,鬼怪,low,,,14,1
1828,鬼怪,low,,,33,1
1829,鬼怪,low,,,31,1
1830,鬼怪,low,,,53,1
1831,鬼怪,low,,,20,1
183,鬼怪,low,,,29,1
183,鬼怪,low,,,8,1
184,鬼怪,low,,,27,1
185,鬼怪,low,,,21,1
186,鬼怪,low,,,18,1
187,鬼怪,low,,,19,1
188,鬼怪,low,,,8,1
1839,鬼怪,low,,,9,1
1840,鬼怪,low,,,9,1
1841,鬼怪,low,,,9,1
1842,鬼怪,low,,,9,1
1843,鬼怪,low,,,27,1
1844,鬼怪,low,,,9,1
1845,鬼怪,low,,,24,1
1846,鬼怪,low,,,27,1
1847,鬼怪,low,,,27,1
1850,鬼怪,low,,,14,1
1851,鬼怪,low,,,45,1
1852,鬼怪,low,,,22,1
1853,鬼怪,low,,,24,1
1854,鬼怪,low,,,31,1
1855,鬼怪,low,,,7,1
1856,鬼怪,low,,,22,1
1,鬼怪,low,,,8,1
2,鬼怪,low,,,20,1
3,鬼怪,low,,,25,1
4,鬼怪,low,,,20,1
5,鬼怪,low,,,13,1
6,鬼怪,low,,,30,1
7,鬼怪,low,,,58,1
1862,鬼怪,low,,,23,1
1863,鬼怪,low,,,15,1
1864,鬼怪,low,,,15,1
1865,鬼怪,low,,,7,1
1866,鬼怪,low,,,22,1
1867,鬼怪,low,,,17,1
1868,鬼怪,low,,,16,1
1869,鬼怪,low,,,22,1
1879,鬼怪,low,,,19,1
1870,鬼怪,low,,,15,1
1871,鬼怪,low,,,13,1
1872,鬼怪,low,,,16,1
1873,鬼怪,low,,,17,1
1874,鬼怪,low,,,28,1
1875,鬼怪,low,,,24,1
1876,鬼怪,low,,,15,1
1877,鬼怪,low,,,14,1
1876,鬼怪,low,,,15,1
1877,鬼怪,low,,,39,1
1878,鬼怪,low,,,27,1
1879,鬼怪,low,,,16,1
1880,鬼怪,low,,,8,1
1881,鬼怪,low,,,48,1
1882,鬼怪,low,,,36,1
1,鬼怪,low,,,6,1
2,鬼怪,low,,,9,1
3,鬼怪,low,,,20,1
4,鬼怪,low,,,12,1
5,鬼怪,low,,,13,1
6,鬼怪,low,,,10,1
7,鬼怪,low,,,26,1
1,鬼怪,low,,,8,1
2,鬼怪,low,,,10,1
3,鬼怪,low,,,27,1
4,鬼怪,low,,,24,1
5,鬼怪,low,,,21,1
6,鬼怪,low,,,45,1
1896,鬼怪,low,,,10,1
1897,鬼怪,low,,,29,1
1898,鬼怪,low,,,30,1
1899,鬼怪,low,,,34,1
1900,鬼怪,low,,,45,1
1901,龙王类,low,,,53,1
1902,龙王类,low,,,17,1
1903,龙王类,low,,,25,1
1904,纳西族象形标音文字字典·东巴龙王,low,,,28,1
1905,纳西族象形标音文字字典·东巴龙王,low,,,73,1
1906,纳西族象形标音文字字典·东巴龙王,low,,,20,1
1907,纳西族象形标音文字字典·东巴龙王,low,,,58,1
1908,纳西族象形标音文字字典·东巴龙王,low,,,32,1
1909,纳西族象形标音文字字典·东巴龙王,low,,,78,1
1910,纳西族象形标音文字字典·东巴龙王,low,,,11,1
1911,纳西族象形标音文字字典·东巴龙王,low,,,12,1
1912,纳西族象形标音文字字典·东巴龙王,low,,,26,1
1913,纳西族象形标音文字字典·东巴龙王,low,,,26,1
1914,纳西族象形标音文字字典·东巴龙王,low,,,20,1
1915,纳西族象形标音文字字典·东巴龙王,low,,,37,1
1916,东巴龙王,low,,,33,1
1917,东巴龙王,low,,,36,1
1918,东巴龙王,low,,,36,1
1919,东巴龙王,low,,,34,1
1920,东巴龙王,low,,,25,1
1921,纳西族象形标音文字字典·东巴龙王,low,,,13,1
1922,纳西族象形标音文字字典·东巴龙王,low,,,15,1
1923,纳西族象形标音文字字典·东巴龙王,low,,,11,1
1924,纳西族象形标音文字字典·东巴龙王,low,,,11,1
1925,纳西族象形标音文字字典·东巴龙王,low,,,11,1
1926,纳西族象形标音文字字典·东巴龙王,low,,,11,1
1,天文类,low,,,11,1
2,天文类,low,,,19,1
3,天文类,low,,,11,1
4,天文类,low,,,11,1
5,天文类,low,,,6,1
1031,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1033,纳西族象形标音文字字典·东巴龙王,low,,,8,1
1034,纳西族象形标音文字字典·东巴龙王,low,,,8,1
1035,纳西族象形标音文字字典·东巴龙王,low,,,27,1
1036,纳西族象形标音文字字典·东巴龙王,low,,,15,1
1,纳西族象形标音文字字典·东巴龙王,low,,,14,1
2,纳西族象形标音文字字典·东巴龙王,low,,,47,1
3,纳西族象形标音文字字典·东巴龙王,low,,,50,1
4,纳西族象形标音文字字典·东巴龙王,low,,,39,1
5,纳西族象形标音文字字典·东巴龙王,low,,,21,1
1942,纳西族象形标音文字字典·东巴龙王,low,,,5,1
,纳西族象形标音文字字典·东巴龙王,low,,,5,1
,纳西族象形标音文字字典·东巴龙王,low,,,5,1
,纳西族象形标音文字字典·东巴龙王,low,,,6,1
,纳西族象形标音文字字典·东巴龙王,low,,,6,1
1,纳西族象形标音文字字典·东巴龙王,low,,,8,1
2,纳西族象形标音文字字典·东巴龙王,low,,,10,1
3,纳西族象形标音文字字典·东巴龙王,low,,,12,1
4,纳西族象形标音文字字典·东巴龙王,low,,,7,1
5,纳西族象形标音文字字典·东巴龙王,low,,,6,1
1952,纳西族象形标音文字字典·东巴龙王,low,,,3,1
1953,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1954,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1955,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1,纳西族象形标音文字字典·东巴龙王,low,,,15,1
2,纳西族象形标音文字字典·东巴龙王,low,,,6,1
3,纳西族象形标音文字字典·东巴龙王,low,,,33,1
4,纳西族象形标音文字字典·东巴龙王,low,,,28,1
5,纳西族象形标音文字字典·东巴龙王,low,,,8,1
1914号,纳西族象形标音文字字典·东巴龙王,low,,,6,1
,纳西族象形标音文字字典·东巴龙王,low,,,6,1
,纳西族象形标音文字字典·东巴龙王,low,,,6,1
,纳西族象形标音文字字典·东巴龙王,low,,,6,1
,纳西族象形标音文字字典·东巴龙王,low,,,6,1
1967,纳西族象形标音文字字典·东巴龙王,low,,,30,1
1968,纳西族象形标音文字字典·东巴龙王,low,,,19,1
1969,纳西族象形标音文字字典·东巴龙王,low,,,21,1
1970,纳西族象形标音文字字典·东巴龙王,low,,,33,1
1971,纳西族象形标音文字字典·东巴龙王,low,,,30,1
1972,纳西族象形标音文字字典·东巴龙王,low,,,39,1
1973,纳西族象形标音文字字典·东巴龙王,low,,,36,1
1973,纳西族象形标音文字字典·东巴龙王,low,,,14,1
1974,纳西族象形标音文字字典·东巴龙王,low,,,14,1
1975,纳西族象形标音文字字典·东巴龙王,low,,,14,1
1976,纳西族象形标音文字字典·东巴龙王,low,,,14,1
1977,纳西族象形标音文字字典·东巴龙王,low,,,15,1
1978,纳西族象形标音文字字典·东巴龙王,low,,,15,1
1979,纳西族象形标音文字字典·东巴龙王,low,,,14,1
1980,纳西族象形标音文字字典·东巴龙王,low,,,11,1
1981,纳西族象形标音文字字典·东巴龙王,low,,,20,1
1982,纳西族象形标音文字字典·东巴龙王,low,,,20,1
1983,纳西族象形标音文字字典·东巴龙王,low,,,28,1
1984,纳西族象形标音文字字典·东巴龙王,low,,,29,1
1985,纳西族象形标音文字字典·东巴龙王,low,,,21,1
1986,纳西族象形标音文字字典·东巴龙王,low,,,22,1
1987,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1988,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1989,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1990,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1991,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1992,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1993,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1994,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1995,纳西族象形标音文字字典·东巴龙王,low,,,7,1
1996,纳西族象形标音文字字典·东巴龙王,low,,,21,1
1997,纳西族象形标音文字字典·东巴龙王,low,,,20,1
1998,纳西族象形标音文字字典·东巴龙王,low,,,47,1
1999,纳西族象形标音文字字典·东巴龙王,low,,,30,1
1610号,十八神类,low,,,47,1
未明确,十八神类,low,,,93,1
未明确,十八神类,low,,,45,1
未明确,十八神类,low,,,98,1
[ŋqɑ^{33}],神,low,,,29,1
[o^{31}],神,low,,,87,1
[p^{55}],神,low,,,25,1
[he^{31}],神,low,,,25,1
[he^{31}dʒA^{33}],天文类,low,,,27,1
2009,神,low,,,53,1
2010,神,low,,,59,1
2011,神,low,,,20,1
2012,神,low,,,16,1
2013,神,low,,,16,1
2014,神,low,,,32,1
2015,神,low,,,27,1
2016,神,low,,,22,1
2017,神,low,,,28,1
2018,神,low,,,29,1
2019,神,low,,,23,1
2020,神,low,,,11,1
2021,神,low,,,33,1
2022,神,low,,,19,1
2023,神,low,,,22,1
2024,神,low,,,53,1
2025,神,low,,,28,1
2026,神,low,,,35,1
2027,神,low,,,36,1
2028,神,low,,,19,1
2039,神,low,,,7,1
2040,神,low,,,7,1
2031,神,low,,,7,1
2032,神,low,,,7,1
2033,神,low,,,10,1
2034,神,low,,,36,1
2035,神,low,,,82,1
2036,神,low,,,26,1
2037,神,low,,,15,1
2038,神,low,,,18,1
2039,神,low,,,18,1
2040,神,low,,,19,1
2041,神,low,,,42,1
2042,神,low,,,10,1
1,神,low,,,11,1
2,神,low,,,11,1
3,神,low,,,33,1
4,神,low,,,10,1
5,神,low,,,10,1
6,神,low,,,10,1
1,神,low,,,4,1
2,神,low,,,19,1
3,神,low,,,21,1
4,神,low,,,16,1
5,神,low,,,18,1
6,神,low,,,23,1
7,神,low,,,43,1
1,神,low,,,33,1
2,神,low,,,13,1
3,神,low,,,10,1
4,神,low,,,10,1
5,神,low,,,10,1
6,神,low,,,12,1
7,神,low,,,11,1
2062,神,low,,,13,1
2063,神,low,,,11,1
2064,神,low,,,34,1
2065,神,low,,,20,1
2066,神,low,,,20,1
2067,神,low,,,39,1
2068,神,low,,,43,1
2069,神,low,,,12,1
2070,神,low,,,10,1
2071,神,low,,,12,1
2072,神,low,,,23,1
2073,神,low,,,21,1
2074,神,low,,,44,1
2075,神,low,,,10,1
2076,神,low,,,9,1
2077,神,low,,,9,1
2078,神,low,,,49,1
2079,神,low,,,36,1
2080,神,low,,,9,1
2081,神,low,,,9,1
2082,神,low,,,9,1
2083,神,low,,,9,1
2084,神,low,,,8,1
2085,神,low,,,5,1
2086,神,low,,,4,1
2087,神,low,,,4,1
2088,神,low,,,4,1
2089,神,low,,,4,1
2090,神,low,,,4,1
2091,神,low,,,4,1
2092,神,low,,,9,1
1,神,low,,,9,1
2,神,low,,,0,1
3,神,low,,,9,1
4,神,low,,,4,1
5,神,low,,,4,1
6,神,low,,,4,1
7,神,low,,,6,1
8,神,low,,,3,1
2100,神,low,,,27,1
2101,神,low,,,36,1
2102,神,low,,,12,1
2103,神,low,,,12,1
2104,神,low,,,19,1
2105,神,low,,,19,1
2106,神,low,,,32,1
2107,神,low,,,9,1
2108,神,low,,,28,1
2109,神,low,,,15,1
2110,神,low,,,7,1
2111,神,low,,,15,1
2112,神,low,,,15,1
2113,神,low,,,7,1
2114,神,low,,,17,1
2115,神,low,,,12,1
2116,神,low,,,18,1
2117,神,low,,,14,1
2118,神,low,,,46,1
2119,神,low,,,30,1
2120,神,low,,,23,1
